Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Leandro Castán,Centre-Back,25,Corinthians,Série A,AS Roma,Serie A,2012-2013,2500000.0,5000000
Naldo,Centre-Back,29,Werder Bremen,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2012-2013,6500000.0,4800000
Dante,Centre-Back,28,Bor. M'gladbach,1.Bundesliga,Bayern Munich ,1.Bundesliga,2012-2013,8000000.0,4700000
Federico Balzaretti,Left-Back,30,US Palermo,Serie A,AS Roma,Serie A,2012-2013,8500000.0,4500000
Jonathan Biabiany,Right Winger,24,Sampdoria,Serie A,Parma,Serie A,2012-2013,8000000.0,4500000
Nenad Tomovic,Centre-Back,25,Genoa,Serie A,Fiorentina,Serie A,2012-2013,1300000.0,4200000
Ciro Immobile,Centre-Forward,22,Juventus,Serie A,Genoa,Serie A,2012-2013,6500000.0,4000000
Petr Jiracek,Central Midfield,26,VfL Wolfsburg,1.Bundesliga,Hamburger SV,1.Bundesliga,2012-2013,6000000.0,4000000
Richmond Boakye,Centre-Forward,19,Genoa,Serie A,Juventus,Serie A,2012-2013,5000000.0,4000000
Chinedu Obasi,Right Winger,26,TSG Hoffenheim,1.Bundesliga,FC Schalke 04,1.Bundesliga,2012-2013,4500000.0,4000000
Samba Diakité,Defensive Midfield,23,AS Nancy,Ligue 1,QPR,Premier League,2012-2013,4500000.0,4000000
Francesco Acerbi,Centre-Back,24,Chievo Verona,Serie A,AC Milan,Serie A,2012-2013,4500000.0,4000000
Francesco Acerbi,Centre-Back,24,AC Milan,Serie A,Genoa,Serie A,2012-2013,4000000.0,4000000
David Abraham,Centre-Back,26,Getafe CF,LaLiga,TSG Hoffenheim,1.Bundesliga,2012-2013,3000000.0,4000000
Sadio Diallo,Attacking Midfield,21,SC Bastia,Ligue 1,Stade Rennais,Ligue 1,2012-2013,2500000.0,4000000
Gabriel Silva,Left-Back,21,Granada CF,LaLiga,Udinese Calcio,Serie A,2012-2013,2500000.0,4000000
Arouna Koné,Centre-Forward,28,Levante UD,LaLiga,Wigan,Premier League,2012-2013,7000000.0,3800000
Maicon,Right-Back,31,Inter,Serie A,Man City,Premier League,2012-2013,14500000.0,3750000
Michael Bradley,Central Midfield,24,Chievo Verona,Serie A,AS Roma,Serie A,2012-2013,3500000.0,3750000
Andrea Rossi,Left-Back,25,Siena,Serie A,Parma,Serie A,2012-2013,300000.0,3600000
Barreto,Second Striker,27,Udinese Calcio,Serie A,Torino,Serie A,2012-2013,2000000.0,3550000
Nigel de Jong,Defensive Midfield,27,Man City,Premier League,AC Milan,Serie A,2012-2013,13000000.0,3500000
Sokratis,Centre-Back,24,Genoa,Serie A,Werder Bremen,1.Bundesliga,2012-2013,10000000.0,3500000
